A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
by,subsidize.01,premiere schools,,Affirmative,I 'm proud to be a product of state universities -- premiere schools which are subsidized by the government . 
I,have.03,the chance,,Affirmative,"When I was in elementary , I had the chance to be schooled at a private institution where tuition fees were soaring high . "
I,know.01,parents were paying,,Affirmative,"Although we were too pampered with the best facilities and top - caliber teachers , I knew that my parents were paying too much . "
my parents,pay.01,too much,,Affirmative,"Although we were too pampered with the best facilities and top - caliber teachers , I knew that my parents were paying too much . "
Children,have.03,every privilege,,Affirmative,Children have every privilege to learn the lessons of life which will prepare them for the real world . 
Children,learn.01,the lessons of life,,Affirmative,Children have every privilege to learn the lessons of life which will prepare them for the real world . 
the lessons of life,prepare.02,Children,for,Affirmative,Children have every privilege to learn the lessons of life which will prepare them for the real world . 
a number of institutions in,raise.01,their tuition fees,,Affirmative,"However , it is quite sad that this year , a number of institutions in Central Visayas are raising their tuition fees to cover expenses . "
The Department of Education,say.01,parents should rethink about enrolling children in,,Affirmative,The Department of Education said parents should rethink about enrolling children in private schools if the tuition fee increase is too much to handle . 
my parents,rethink.01,about enrolling children in,,Affirmative,The Department of Education said parents should rethink about enrolling children in private schools if the tuition fee increase is too much to handle . 
my parents,enrol.01,Children,,Affirmative,The Department of Education said parents should rethink about enrolling children in private schools if the tuition fee increase is too much to handle . 
the teacher,receive.01,the meager salary,,Affirmative,Not to mention the meager salary the teacher receives after nights of preparing for lessons without having to mind their own expenses on daily materials . 
the K +12 scheme,deliver.01,public students here and about,,Affirmative,"While the K+12 scheme seems promising as it delivers our students to be globally competitive as in aligning standards with the world , it seems like we can not support this kind of system if there is lacking support from the government . "
our,support.01,this kind of system,,Affirmative,"While the K+12 scheme seems promising as it delivers our students to be globally competitive as in aligning standards with the world , it seems like we can not support this kind of system if there is lacking support from the government . "
the K +12 scheme,lack.01,support from,,Affirmative,"While the K+12 scheme seems promising as it delivers our students to be globally competitive as in aligning standards with the world , it seems like we can not support this kind of system if there is lacking support from the government . "
The education sector,need.01,to have,,Affirmative,The education sector needs to have the highest allocation if this global scheme is to be continued . 
The education sector,have.03,the highest allocation,,Affirmative,The education sector needs to have the highest allocation if this global scheme is to be continued . 
no child,learn.01,the lessons needed for life,,Affirmative,There shall be no child who will be deprived of the right to learn the lessons needed for life . 
Every young Filipino,know.01,the basics,,Affirmative,Every young Filipino shall know the basics to survive . 
I,imagine.01,public servants,,Affirmative,I can only imagine public servants who are placed in position because of their true desire to help the country . 
public servants,help.01,the country,,Affirmative,I can only imagine public servants who are placed in position because of their true desire to help the country . 
